date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2009-12-15,Maize - Wholesale,MT,cereals and tubers,7.78,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2010-01-15,Maize - Wholesale,MT,cereals and tubers,8.05,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2010-02-15,Maize - Wholesale,MT,cereals and tubers,8.3,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2010-03-15,Maize - Wholesale,MT,cereals and tubers,8.77,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2010-04-15,Maize - Wholesale,MT,cereals and tubers,9.07,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2010-05-15,Maize - Wholesale,MT,cereals and tubers,9.17,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2010-06-15,Maize - Wholesale,MT,cereals and tubers,9.43,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2010-07-15,Maize - Wholesale,MT,cereals and tubers,9.34,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2010-08-15,Maize - Wholesale,MT,cereals and tubers,8.88,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2010-09-15,Maize - Wholesale,MT,cereals and tubers,9.08,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2010-10-15,Maize - Wholesale,MT,cereals and tubers,9.02,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2010-11-15,Maize - Wholesale,MT,cereals and tubers,9.07,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2010-12-15,Maize - Wholesale,MT,cereals and tubers,9.03,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2011-01-15,Maize - Wholesale,MT,cereals and tubers,9.28,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2011-02-15,Maize - Wholesale,MT,cereals and tubers,9.46,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2011-03-15,Maize - Wholesale,MT,cereals and tubers,9.86,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2011-04-15,Maize - Wholesale,MT,cereals and tubers,10.41,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2011-05-15,Maize - Wholesale,MT,cereals and tubers,10.2,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2011-06-15,Maize - Wholesale,MT,cereals and tubers,9.51,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2011-07-15,Maize - Wholesale,MT,cereals and tubers,8.81,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2011-08-15,Maize - Wholesale,MT,cereals and tubers,9.02,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2011-09-15,Maize - Wholesale,MT,cereals and tubers,9.05,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2011-10-15,Maize - Wholesale,MT,cereals and tubers,9.19,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2011-11-15,Maize - Wholesale,MT,cereals and tubers,9.67,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2011-12-15,Maize - Wholesale,MT,cereals and tubers,9.82,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2012-01-15,Maize - Wholesale,MT,cereals and tubers,9.98,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2012-02-15,Maize - Wholesale,MT,cereals and tubers,10.07,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2012-03-15,Maize - Wholesale,MT,cereals and tubers,10.2,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2012-04-15,Maize - Wholesale,MT,cereals and tubers,10.43,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2012-05-15,Maize - Wholesale,MT,cereals and tubers,10.17,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
2012-06-15,Maize - Wholesale,MT,cereals and tubers,10.44,THB,Thailand,Bangkok,2853,Bangkok,2658,51,14,18,1,2658_51_14_18,
