reefer_mmsi,fishing_mmsi,latitude,longitude,event_start_time,event_end_time,reefer_flag_iso3,fishing_flag_iso3
374014000,412420818,-29.75982215025043,-132.05476360371492,2016-09-05 22:40:00,2016-09-06 02:30:00,PAN,CHN
374014000,412420821,-29.965950149719653,-132.07887748261447,2016-09-07 14:50:00,2016-09-07 19:00:00,PAN,CHN
374014000,412420818,-29.7547639988911,-132.05989732061727,2016-09-05 22:40:00,2016-09-06 04:20:00,PAN,CHN
374014000,412400154,-18.683025470750135,-120.03695540817777,2016-12-05 13:30:00,2016-12-05 16:40:00,PAN,CHN
374014000,412420814,-29.89803771112986,-132.15700318426724,2016-09-07 19:10:00,2016-09-08 00:20:00,PAN,CHN
374014000,412420821,-16.007676064802446,-129.19390069775721,2016-11-27 23:30:00,2016-11-28 03:00:00,PAN,CHN
529086000,412420875,-18.392985404635738,-128.73836507808576,2014-12-20 16:30:00,2014-12-21 01:30:00,KIR,CHN
529086000,412420877,-18.40094862052423,-128.78800663334073,2014-12-21 14:40:00,2014-12-22 00:10:00,KIR,CHN
529086000,412420877,-18.398592489885015,-128.78318506535246,2014-12-21 14:40:00,2014-12-21 18:20:00,KIR,CHN
576414000,412331027,11.536441163456919,-177.50252813151113,2015-05-28 17:30:00,2015-05-28 21:30:00,VUT,CHN
576414000,412371192,-5.994501238051409,-150.2383924583201,2015-06-15 20:30:00,2015-06-16 00:00:00,VUT,CHN
576414000,412331028,4.474895377558768,-174.64355539884042,2016-02-21 18:20:00,2016-02-22 00:50:00,VUT,CHN
351763000,412329694,-46.0506470044562,-59.9951892857923,2015-01-03 05:20:00,2015-01-04 04:50:00,PAN,CHN
351763000,412329692,-45.71189261274104,-60.254177515348076,2015-02-07 20:40:00,2015-02-07 23:50:00,PAN,CHN
351763000,412329692,-45.44953397656542,-60.40695096127192,2014-12-24 12:10:00,2014-12-24 16:10:00,PAN,CHN
351763000,412329687,-44.99416394228385,-59.855069034460804,2015-01-19 10:50:00,2015-01-19 23:10:00,PAN,CHN
351763000,412329692,-45.45207410921388,-60.409256099601876,2014-12-24 04:10:00,2014-12-24 08:50:00,PAN,CHN
351763000,412329694,-46.12912992599003,-60.006771635010985,2015-01-03 05:20:00,2015-01-03 17:00:00,PAN,CHN
351763000,412329692,-45.534636032704164,-59.624545155506105,2015-03-18 13:30:00,2015-03-19 00:40:00,PAN,CHN
351763000,412329694,-46.20540256462758,-59.945202625245976,2015-04-08 00:30:00,2015-04-08 17:10:00,PAN,CHN
351763000,412329687,-46.93595603564886,-60.3075951963728,2015-06-05 00:20:00,2015-06-05 13:40:00,PAN,CHN
351763000,412329692,-42.78812398571769,-57.03218330975393,2015-05-14 12:50:00,2015-05-14 16:00:00,PAN,CHN
351763000,412329687,-41.872329577573716,-57.07508088390866,2015-07-11 12:10:00,2015-07-11 15:50:00,PAN,CHN
351763000,412329687,-44.670419641271906,-59.19882599874454,2015-03-26 02:30:00,2015-03-26 14:40:00,PAN,CHN
351763000,412329691,-42.05651009177945,-57.387352472071825,2015-07-10 23:10:00,2015-07-11 03:20:00,PAN,CHN
351763000,412329693,-45.99525780781784,-59.71681093424104,2015-03-23 13:10:00,2015-03-24 01:50:00,PAN,CHN
351763000,412329694,-42.637302521577524,-58.12060445275548,2015-07-01 13:40:00,2015-07-01 19:40:00,PAN,CHN
351763000,412329687,-46.190357368383694,-60.00758752170391,2015-04-09 02:40:00,2015-04-09 16:00:00,PAN,CHN
351763000,412329693,-42.339781436879875,-57.20420175193267,2015-05-29 02:50:00,2015-05-29 16:40:00,PAN,CHN
351763000,412420114,-11.53038526163775,-81.91847412319582,2013-08-10 02:40:00,2013-08-10 06:20:00,PAN,CHN
351763000,412329691,-45.48026431601473,-59.853878442199814,2015-01-04 09:20:00,2015-01-04 16:50:00,PAN,CHN
351763000,412329688,-46.10549660191694,-60.22697299302937,2015-05-06 13:20:00,2015-05-06 16:40:00,PAN,CHN
351763000,412329686,-42.40745265598635,-57.18688377528204,2015-05-13 00:30:00,2015-05-13 15:40:00,PAN,CHN
351763000,412329685,-46.202354561416705,-59.80447567266988,2015-04-07 05:40:00,2015-04-07 13:20:00,PAN,CHN
351763000,412329693,-42.21904179114048,-57.39475370677877,2015-07-02 16:50:00,2015-07-02 20:10:00,PAN,CHN
351763000,412329694,-45.93008814225692,-60.268094984657864,2015-07-13 03:20:00,2015-07-13 06:50:00,PAN,CHN
